Borough,Number,Street
Staten Island,629,RICHMOND ROAD
Staten Island,211,WHEELER AVENUE
Staten Island,207,WHEELER AVENUE
Manhattan,525,WEST 111 STREET
Manhattan,416,3 AVENUE
Queens,235-03,SEWARD AVENUE
Manhattan,222,BOWERY
Staten Island,405,BRADLEY AVENUE
Staten Island,405,BRADLEY AVENUE
Staten Island,294,HAROLD STREET
Manhattan,340,WEST 50 STREET
Manhattan,10,WEST 135 STREET
Manhattan,322,WEST  50 STREET
Queens,92-014,242 STREET
Staten Island,85,HAROLD STREET
Queens,67-017,214 STREET
Manhattan,251,EAST 13 STREET
Brooklyn,1514,37 STREET
Manhattan,58,WEST 12 STREET
Manhattan,340,EAST  73 STREET
Queens,94-002,218 STREET
Queens,240-20,83 AVENUE
Manhattan,542,WEST 153 STREET
Bronx,2737,MATTHEWS AVENUE
Staten Island,208,FISKE AVENUE
Staten Island,84,OAKVILLE STREET
Brooklyn,2266,HENDRICKSON STREET
Brooklyn,187,18 STREET
Queens,50-015,44 STREET
Staten Island,203,QUINLAN AVENUE
Queens,43-060,DOUGLASTON PARKWAY
Staten Island,1341,BAY STREET
Brooklyn,942,GREENE AVENUE
Staten Island,308,HYLAN BOULEVARD
Staten Island,440,ELVERTON AVENUE
Queens,176-030,133 AVENUE
Queens,23-071,33 STREET
Queens,89-090,216 STREET
Staten Island,1409,BAY STREET
Staten Island,128,HYLAN BOULEVARD
Staten Island,397,HYLAN BOULEVARD
Queens,89-096,216 STREET
Queens,25-46,BAYSIDE LANE
Staten Island,131,3 STREET
Staten Island,24,SYDNEY PLACE
Brooklyn,1290,NEW YORK AVENUE
Staten Island,66,1 STREET
Bronx,2746,MATTHEWS AVENUE
Staten Island,14,QUINN STREET
Brooklyn,1239,85 STREET
Brooklyn,1570,81 STREET
Bronx,2746,MATTHEWS AVENUE
Bronx,3660,BRONXWOOD AVENUE
Staten Island,36,QUINN STREET
Manhattan,15,CARMINE STREET
Manhattan,432,AMSTERDAM AVENUE
Manhattan,505,MANHATTAN AVENUE
Staten Island,89,TOMPKINS STREET
Staten Island,222,HOWARD AVENUE
Brooklyn,632,92 STREET
Staten Island,70,BERTHA PLACE
Staten Island,8,THERESA PLACE
Brooklyn,1529,DEAN STREET
Staten Island,34,THERESA PLACE
Queens,65-077,PARSONS BOULEVARD
Staten Island,85,TOMPKINS STREET
Staten Island,91,TOMPKINS STREET
Manhattan,1804,3 AVENUE
Staten Island,215,HOWARD AVENUE
Staten Island,17,EDDY STREET
Staten Island,50,THERESA PLACE
Staten Island,56,THERESA PLACE
Staten Island,34,DUNCAN ROAD
Bronx,761,TRINITY AVENUE
Staten Island,89,TOMPKINS STREET
Staten Island,215,HOWARD AVENUE
Staten Island,215,HOWARD AVENUE
Queens,131-042,131 STREET
Queens,131-042,131 STREET
Staten Island,11,BERTHA PLACE
Staten Island,76,BERTHA PLACE
Brooklyn,1529,DEAN STREET
Staten Island,56,THERESA PLACE
Staten Island,87,DUNCAN ROAD
Queens,75-003,192 STREET
Staten Island,682,BAY STREET
Brooklyn,1452,ATLANTIC AVENUE
Queens,65-007,180 STREET
Queens,15-019,146 STREET
Queens,38-017,211 STREET
Queens,65-007,180 STREET
Queens,1717,WOODBINE STREET
Queens,24-32,24 STREET
Staten Island,17,GRETA PLACE
Staten Island,73,NEW STREET
Staten Island,12,VREELAND STREET
Staten Island,12,VREELAND STREET
Queens,23-036,23 STREET
Staten Island,189,BIONIA AVENUE
Staten Island,189,BIONIA AVENUE
Staten Island,65,NEW STREET
Staten Island,6,VREELAND STREET
Staten Island,178,BIONIA AVENUE
Manhattan,185,LENOX AVENUE
Queens,147-036,HOOK CREEK BOULEVARD
Brooklyn,1064,83 STREET
Queens,88-041,75 AVENUE
Manhattan,336,WEST  20 STREET
Manhattan,106,WEST 143 STREET
Queens,110-061,FARMERS BOULEVARD
Brooklyn,348,LOTT AVENUE
Queens,43-019,41 STREET
Staten Island,22,OTIS AVENUE
Staten Island,19,HASTINGS STREET
Brooklyn,177,NORTH 9 STREET
Brooklyn,2021,EAST 53 STREET
Brooklyn,4417,FOSTER AVENUE
Queens,235-016,26 AVENUE
Brooklyn,10582,AVENUE M
Staten Island,184,BIONIA AVENUE
Queens,34-021,80 STREET
Queens,34-021,80 STREET
Staten Island,308,CLAWSON STREET
